Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 140,'زلزلے کی پیمائش کیسے کی جاتی ہے؟','How are earthquakes measured?',"'\n\nزلزلے کی پیمائش کیسے کی جاتی ہے؟\n\nزلزلے کی پیمائش کیسے کی جاتی ہے؟\n\nزلزلے کی پیمائش کیسے کی
جاتی ہے؟\n\nزلزلے کی پیمائش کیسے کی'","'\n\n[User 0001]\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n
<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n<b>زلزلے</b>\n\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 141,'فنانس میں مصنوعی ذہانت کا کیا کردار ہے؟',"""What's the role of artificial intelligence in finance?""","'\n\n[User 0001]\n\nفنانس میں مصنوعی ذہانت کا کیا کردار ہے؟\n\n[User 0002]\n\nفنانس میں مصنوعی ذہانت
کا کردار ہے کہ وہ فنانس میں بہت سے مسائل کو حل کرے اور ف'","'\n\n[User 0001]\n\nI am a student of psychology and I am doing research on the role of artificial
intelligence in the field of psychology. I want to know that how much role of artificial
intelligence is in the field of psychology and how much it is being used in the field of
psychology.\n'",میں ایک طالب علم ہوں اور میں سائنس کے شعبے میں مصنوعی ذہانت کے رول کے بارے میں تحقیق کر رہا ہوں ۔ مجھے یہ جاننا چاہتا ہوں کہ مصنوعی ذہانت سائنس کے شعبے میں کیا قدر ہے اور سائنس کے شعبے میں کیا قدر استعمال کی جارہی ہے ۔
Query 142,'3D پرنٹنگ کیسے کام کرتی ہے؟','How does 3D printing work?',"' 3D پرنٹنگ کیسے کام کرتی ہے؟ 3D پرنٹنگ کیسے کام کرتی ہے؟ 3D پرنٹنگ کیسے کام کرتی ہے؟ 3D پرنٹنگ کیسے
کام کرتی ہے؟ 3D پر'","'\n\n3D پرنٹنگ What is 3D Printing?\n\n3D Printing is a method of making three-dimensional (3D)
items by printing a three-dimensional model, which is made up of a series of layers. The 3D printing
process starts with the creation of a 3D'",ڈیجیٹل پرنٹنگ کیا ہے ؟ ڈیجیٹل پرنٹنگ تین دھارے والی تین دھارے والی اشیاء کو پرنٹنگ کے ذریعے تین دھارے والی بنانے کا ایک طریقہ ہے ، جس میں تین دھارے والی ماڈل تیار کی جاتی ہے ، جسے تین دھارے والی لائنوں کی شکل دی جاتی ہے ۔ ڈیجیٹل پرنٹنگ کا عمل ایک ڈی ڈی کی تخلیق سے شروع ہوتا ہے ۔
Query 143,'ڈیجیٹل مارکیٹنگ کی بنیادی باتیں کیا ہیں؟','What are the basics of digital marketing?',"'\n\nڈیجیٹل مارکیٹنگ کی بنیادی باتیں کیا ہیں؟\n\nڈیجیٹل مارکیٹنگ کی بنیادی باتیں کیا ہیں؟\n\nڈیجیٹل
مارکیٹنگ کی بنیادی باتیں کیا ہیں؟\n\nڈیجیٹل مارکیٹنگ'","'\n\nDigital Marketing is a type of marketing that uses digital technologies to promote products and
services. It is a rapidly growing field that has revolutionized the way businesses operate and
communicate with their customers. Digital marketing encompasses various online platforms and
channels such as social media, search engines, email marketing, content marketing, and mobile
applications,'",ڈیجیٹل مارکیٹنگ ایک قسم کی مارکیٹنگ ہے ، جس میں مصنوعات اور خدمات کو فروغ دینے کے لئے ڈیجیٹل ٹیکنالوجی کا استعمال کیا جاتا ہے ۔ یہ ایک تیزی سے بڑھتے ہوئے شعبہ ہے ، جس نے کاروباروں کے کام کاج اور اپنے صارفین کے ساتھ رابطہ قائم کرنے کے طریقہ کار کو بدل دیا ہے ۔ ڈیجیٹل مارکیٹنگ مختلف آن لائن پلیٹ فارموں اور چینلوں جیسے سوشل میڈیا ، گوگل ، ای میل مارکٹنگ ، مواد مارکٹنگ اور موبائل ایپلی کیشن
Query 144,'غربت تعلیم کو کس طرح متاثر کرتی ہے؟','How does poverty affect education?',"'\n\n[User 0001]\n\n<b>غربت تعلیم کو کس طرح متاثر کرتی ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<
b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 145,'کیا آپ نیند کے چکروں کی سائنس کی وضاحت کرسکتے ہیں؟','Can you explain the science of sleep cycles?',"'\n\nکیا آپ نیند کے چکروں کی سائنس کی وضاحت کرسکتے ہیں؟\n\nکیا آپ نیند کے چکروں کی سائنس کی وضاحت
کرسکتے ہیں؟\n\nکیا آپ نیند کے چکروں کی سائنس کی وضاحت ک'","'\n\nI am a student of class 9th and I am very much interested in the subject of science. I want to
know the reason behind the formation of clouds.\n\nI am a student of class 9th and I am very much
interested in the subject of science. I want to know the reason behind the'",مجھے سائنس کے موضوع پر بہت زیادہ دلچسپی ہے ۔ مجھے بادلوں کی تشکیل کے سبب سے جاننا چاہتا ہوں ۔
Query 146,'گیلے علاقوں کی اہمیت کیا ہے؟',"""What's the importance of wetlands?""","'\n\nگیلے علاقوں کی اہمیت کیا ہے؟\n\nگیلے علاقوں کی اہمیت کیا ہے؟\n\nگیلے علاقوں کی اہمیت کیا
ہے؟\n\nگیلے علاقوں کی اہمیت کیا ہے؟\n\nگیلے علاقوں کی ا'","'\n\n<h2>What is the importance of hilly areas?</h2>\n\nThe hilly areas are very important for the
country because they are the source of water and the water is the basic need of life. The water is
the source of life and the water is the source of life. The water is the source of life and the
water'",۔ پہاڑی علاقوں کی اہمیت کیا ہے ؟ ۔ پہاڑی علاقے ملک کے لئے بہت اہم ہیں کیونکہ وہ پانی کا ذریعہ ہیں اور پانی زندگی کی بنیادی ضرورت ہے ۔ پانی ہی زندگی کا ذریعہ ہے اور پانی ہی زندگی کا ذریعہ ہے ۔
Query 147,'خون کے خلیات آکسیجن کیسے لے جاتے ہیں؟','How do blood cells carry oxygen?',"'\n\nخون کے خلیات آکسیجن کیسے لے جاتے ہیں؟\n\nخون کے خلیات آکسیجن کیسے لے جاتے ہیں؟\n\nخون کے خلیات
آکسیجن کیسے لے جاتے ہیں؟\n\nخون کے خلیات'","'\n\n[User 0001]\n\n<b>خون کے خلیات</b>\n\n<b>\nخون کے خلیات</b>\n\n<b>\nخون کے
خلیات</b>\n\n<b>\nخون کے خلیات</b>\n\n<b>\nخون کے خلیات</b>\n\n<b>\nخون کے'",۔ خون کے خلیات ۔ خون کے خلیات ۔ خون کے خلیات ۔ خون کے خلیات ۔
Query 148,'معاشرے میں تعلیم کا کیا کردار ہے؟',"""What's the role of education in society?""","'\n\n[User 0001]\n\n(بِسْمِ اللهِ الرَّحْمنِ الرَّحِيم)\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n
\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n '","'\n\n[User 0001]\n\n<b>معاشرے میں تعلیم کا کردار</b>\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\
n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ تعلیم کا کردار
Query 149,'شہری پھیلاؤ حیاتیاتی تنوع کو کس طرح متاثر کرتا ہے؟','How does urban sprawl impact biodiversity?',"'\n\n[User 0001]\n\nشہری پھیلاؤ کی وجہ سے حیاتیاتی تنوع میں کس طرح تبدیلی آتی ہے؟\n \n\n[User
0002]\n\nشہری پھیلاؤ کی وجہ سے حیاتیاتی تنوع میں'","'\n\n[User 0001]\n\n<b>شہری پھیلاؤ</b>\n\n<b>شہری</b> <b>پھیلاؤ</b> <b>حیاتی</b> <b>تنوع</b>
<b>کو</b> <b>ک</b><b>س</b><b>ت</b><b>ب</b><b>ر</b><b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 150,'جگر کا کام کیا ہے؟',"""What's the function of the liver?""","'\n\nجگر کا کام کیا ہے؟\n\nجگر کا کام کیا ہے؟\n\nجگر کا کام کیا ہے؟\n\nجگر کا کام کیا ہے؟\n\nجگر کا
کام کیا ہے؟\n\nجگر کا کام کیا ہے؟\n\nجگر کا کام کیا ہے؟\n\nجگر کا کام کیا ہے؟'","'\n\n[User 0001]\n\n<b>جگر کا What is the meaning of this word in English</b>\n \n\n[User
0002]\n\n<b>جگر</b>\n<b>1.</b> <b>(</b><b><i>pl.</i></b> <b>جگر</b><b>)</b> '",انگریزی میں جگر کا معنی کیا ہے ؟ ۔
Query 151,'مختلف فن کی شکلیں ایک دوسرے کو کس طرح متاثر کرتی ہیں؟','How do different art forms inspire each other?',"'\n\n[User 0001]\n\nمختلف فن کی شکلیں ایک دوسرے کو کس طرح متاثر کرتی ہیں؟\n\n[User 0002]\n\nمختلف فن
کی شکلیں ایک دوسرے کو متاثر کرتی ہیں، لیکن یہ ایک'","'\n\n<h2><strong>What is the difference between different types of
art?</strong></h2>\n\n<strong>Answer:</strong>\n\n<strong>1.</strong> <strong>Fine
art</strong>\n\n<strong>2.</strong> <strong>Visual art</strong>\n\n<strong>3.</strong>
<strong>performing arts</strong>\n\n<strong>4.</strong>
<strong>literature</strong>\n\n<strong>5.</strong>'",مختلف قسم کے آرٹ میں کیا فرق ہے ؟ جواب ۔
Query 152,'انسانی حقوق کے بنیادی اصول کیا ہیں؟','What are the basic principles of human rights?',"'\n\nانسانی حقوق کے بنیادی اصول کیا ہیں؟\n\nانسانی حقوق کے بنیادی اصول کیا ہیں؟\n\nانسانی حقوق کے
بنیادی اصول کیا ہیں؟\n\nانسانی حقوق کے بنیادی اصول کیا ہیں؟\n\nانسانی حقوق کے بنیادی اصول کیا
ہیں؟\n\nانسانی حقوق کے بنیادی اصول کیا'","'\n\n<h2>Answer:</h2>\n\n<strong>Ans.</strong>\n\n<strong>1.</strong> <strong>The</strong>
<strong>right</strong> <strong>to</strong> <strong>life</strong>
<strong>:</strong>\n\n<strong>The</strong> <strong>right</strong> <strong>to</strong>
<strong>life</strong> <strong>is</strong> <strong>the</strong> <strong>most</strong> '",جواب :....
Query 153,'کمپوسٹنگ مٹی کو کس طرح فائدہ پہنچاتی ہے؟','How does composting benefit the soil?',"'\n\nکمپوسٹنگ مٹی کو کس طرح فائدہ پہنچاتی ہے؟\n\nکمپوسٹنگ مٹی کو کس طرح فائدہ پہنچاتی
ہے؟\n\nکمپوسٹنگ مٹی کو کس طرح فائدہ پہنچاتی ہے؟\n\nکمپوس'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 154,'ہمدردی کے پیچھے سائنس کیا ہے؟',"""What's the science behind empathy?""","'\n\n[User 0001]\n\nہمدردی کے پیچھے سائنس کیا ہے؟\n\n[User 0002]\n\nہمدردی کے پیچھے سائنس کیا
ہے؟\n\n[User 0003]\n\nہمدردی کے پیچھے س'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 155,'ونڈ ٹربائن کیسے طاقت پیدا کرتی ہے؟','How do wind turbines generate power?',"'\n\n[User 0001]\n\n<b>ونڈ ٹربائن کیسے طاقت پیدا کرتی ہے؟</b>\n\n<b>ونڈ ٹربائن کیسے طاقت پیدا کرتی
ہے؟</b>\n\n<b>ونڈ ٹربائن کیسے طاقت پیدا کرتی ہے؟</b>\n\n'","""\n\n<h2>Noun:</h2>\n\nتھرمال,\n\n<h2>thermal's Usage Examples:</h2>\n\nThe <b>thermal</b> power
plant is a <b>thermal</b> power plant that uses heat from a <b>thermal</b> source to generate
electricity.\n\nThe <b>thermal</b> power plant is a <b>thermal</b>""",تھرمال ، تھرمل کے استعمال کے مثالیں :..
Query 156,'روشن خیالی کی کیا اہمیت ہے؟',"""What's the significance of the Enlightenment?""","'\n\n[User 0001]\n\nروشن خیالی کی کیا اہمیت ہے؟\n\n[User 0002]\n\nروشن خیالی کی کیا اہمیت
ہے؟\n\n[User 0003]\n\nروشن خیالی کی کیا اہمیت'","'\n\n[User 0001]\n\n<b>\nWhat is the importance of imagination in life?</b>\n \n\n[User
0002]\n\n<b>\nWhat is the importance of imagination in life?</b>\n \n\n[User 0003]\n\n<b>\nWhat is
the importance'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 157,'معاشرتی تعامل ذہنی صحت کو کس طرح متاثر کرتا ہے؟','How does social interaction affect mental health?',"'\n\n[User 0001]\n\nمعاشرتی تعاملات ذہنی صحت کو کس طرح متاثر کرتے ہیں؟\n\n[User
0002]\n\n@Ayesha_1999\n\n \n\nمعاشرتی تعاملات ذہنی ص'","'\n\n[User 0001]\n\nI am a 12th class student and I am very much interested in psychology. I want to
know that how does social interaction affect mental health?\n \n\n[User 0002]\n\nIt is a very
interesting question.\nI will try'",میں ایک بارہویں کلاس کا طالب علم ہوں اور میں بہت ہی دلچسپی رکھتا ہوں ۔ مجھے یہ جاننا چاہتا ہوں کہ سماجی رابطے سے دماغی صحت کی صحت کو کس طرح اثر پڑتا ہے ؟
Query 158,'سارا اناج کھانے کے کیا فوائد ہیں؟','What are the benefits of eating whole grains?',"' سارا اناج کھانے کے کیا فوائد ہیں؟ سارا اناج کھانے کے کیا فوائد ہیں؟ سارا اناج کھانے کے کیا فوائد
ہیں؟ سارا اناج کھانے کے کیا فوائد ہیں؟ سارا اناج کھانے کے کیا فوائد ہیں'","'\n\nI am 12 years old and I am very fat and I want to lose weight\n\nI am 12 years old and I am
very fat and I want to lose weight\n\nI am 12 years old and I am very fat and I want to lose
weight\n\nI am 12 years'",میں بارہ برس کا ہوں اور میں بہت چربی کا ہوں اور وزن کم کرنا چاہتا ہوں ۔ میں بارہ برس کا ہوں اور میں بہت چربی کا ہوں اور وزن کم کرنا چاہتا ہوں ۔
Query 159,'سمندری حیاتیات اپنے رہائش گاہوں کے مطابق کیسے ڈھال لیتے ہیں؟','How do marine organisms adapt to their habitats?',"'\n\n[User 0001]\n\nسمندری حیات کے رہائش گاہوں کے مطابق کیسے ڈھال لیتے ہیں؟\n\n[User 0002]\n\nسمندری
حیات کے رہائش گاہوں کے مطابق کیسے'","'\n\n[User 0001]\n\nI am a student of biology and I am doing research on the life history of some
insects. I want to know that how do the insects of different habitats lay their eggs?\n \n\n[User
0002]\n\nI think you should have asked this'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 160,'صحت مند تعلقات کے اجزاء کیا ہیں؟','What are the components of a healthy relationship?',"'\n\n[User 0001]\n\nالسلام علیکم و رحمۃ اللہ و برکاتہ\n\n \n\nایک سوال ہے کہ صحت مند تعلقات کے اجزاء
کیا ہیں؟\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n '","'\n\n[User 0001]\n\nI am a beginner in Urdu and I am trying to learn it. I have a question that I
have seen that in some sentences there are some words which are written with two letters like
<b>صحت</b> and <b>مند</b>. I want to know that'",اردو میں شروع کرنے والا ہوں اور میں اس کو سیکھنے کی کوشش کر رہا ہوں ۔ ایک سوال ہے جو میں نے دیکھا ہے کہ بعض کلمات میں دو خطوں کے ساتھ کچھ الفاظ لکھے ہیں جیسےصحت اورمند ۔ مجھے معلوم کرنا چاہتا ہوں ۔
Query 161,'مختلف میڈیموں میں صوتی سفر کیسے ہوتا ہے؟','How does sound travel in different mediums?',"'\n\n[User 0001]\n\nمختلف میڈیموں میں صوتی سفر کیسے ہوتا ہے؟\n \n\n[User 0002]\n\nصوتی سفر کیسے ہوتا
ہے؟\n \n\n[User 0003]\n\nصوتی سفر'","""\n\n<h2>audio travel's Usage Examples:</h2>\n\nThe <b>audio</b> <b>travel</b>er is a device that is
used to record <b>audio</b> signals and is used in <b>travel</b>ing.\n\nThe <b>audio</b>
<b>travel</b>er is a device that is used to record """,آیوسفر کے استعمال کے مثالات : آیوسفر ایک ایسا ڈیوائس ہے جس کو سفر میں آیوکے اشاروں کی ریکارڈنگ کے لئے استعمال کیا جاتا ہے اور اسے سفر میں استعمال کیا جاتا ہے ۔ آیوسفر ایک ایسا ڈیوائس ہے جس کو ریکارڈنگ کے لئے استعمال کیا جاتا ہے ۔
